source,target,type,provenance
sub_001,sub_016,grid,inferred
sub_001,sub_017,grid,inferred
sub_001,sub_018,grid,inferred
sub_001,sub_021,grid,inferred
sub_001,sub_024,grid,inferred
sub_002,sub_006,grid,inferred
sub_002,sub_009,grid,inferred
sub_002,sub_010,grid,inferred
sub_002,sub_025,grid,inferred
sub_003,sub_005,grid,inferred
sub_003,sub_007,grid,inferred
sub_003,sub_014,grid,inferred
sub_003,sub_015,grid,inferred
sub_003,sub_027,grid,inferred
sub_004,sub_009,grid,inferred
sub_004,sub_019,grid,inferred
sub_004,sub_020,grid,inferred
sub_004,sub_021,grid,inferred
sub_004,sub_024,grid,inferred
sub_004,sub_025,grid,inferred
sub_005,sub_007,grid,inferred
sub_005,sub_015,grid,inferred
sub_006,sub_010,grid,inferred
sub_006,sub_012,grid,inferred
sub_006,sub_013,grid,inferred
sub_006,sub_025,grid,inferred
sub_007,sub_011,grid,inferred
sub_007,sub_014,grid,inferred
sub_007,sub_022,grid,inferred
sub_007,sub_027,grid,inferred
sub_008,sub_012,grid,inferred
sub_008,sub_013,grid,inferred
sub_008,sub_026,grid,inferred
sub_009,sub_015,grid,inferred
sub_009,sub_019,grid,inferred
sub_009,sub_025,grid,inferred
sub_010,sub_012,grid,inferred
sub_010,sub_013,grid,inferred
sub_011,sub_022,grid,inferred
sub_011,sub_027,grid,inferred
sub_012,sub_013,grid,inferred
sub_012,sub_026,grid,inferred
sub_013,sub_026,grid,inferred
sub_014,sub_027,grid,inferred
sub_016,sub_017,grid,inferred
sub_016,sub_020,grid,inferred
sub_017,sub_020,grid,inferred
sub_017,sub_024,grid,inferred
sub_018,sub_023,grid,inferred
sub_018,sub_024,grid,inferred
sub_019,sub_020,grid,inferred
sub_020,sub_024,grid,inferred
sub_021,sub_023,grid,inferred
sub_021,sub_024,grid,inferred
sub_021,sub_025,grid,inferred
sub_022,sub_027,grid,inferred
sub_023,sub_024,grid,inferred
sub_018,hosp_001,supply,inferred
sub_018,hosp_002,supply,inferred
sub_001,hosp_003,supply,inferred
sub_001,hosp_004,supply,inferred
sub_023,hosp_005,supply,inferred
sub_023,hosp_006,supply,inferred
sub_001,hosp_007,supply,inferred
sub_001,hosp_008,supply,inferred
sub_001,hosp_009,supply,inferred
sub_006,hosp_010,supply,inferred
sub_006,hosp_011,supply,inferred
sub_006,hosp_012,supply,inferred
sub_023,hosp_013,supply,inferred
sub_018,hosp_014,supply,inferred
sub_018,hosp_015,supply,inferred
sub_001,hosp_016,supply,inferred
sub_021,hosp_017,supply,inferred
sub_023,hosp_018,supply,inferred
sub_013,hosp_019,supply,inferred
sub_006,hosp_020,supply,inferred
sub_023,hosp_021,supply,inferred
sub_006,hosp_022,supply,inferred
sub_001,hosp_023,supply,inferred
sub_014,hosp_024,supply,inferred
sub_017,hosp_025,supply,inferred
sub_001,hosp_026,supply,inferred
sub_006,hosp_027,supply,inferred
sub_025,hosp_028,supply,inferred
sub_006,hosp_029,supply,inferred
sub_025,hosp_030,supply,inferred
sub_021,hosp_031,supply,inferred
sub_006,hosp_032,supply,inferred
sub_010,hosp_033,supply,inferred
sub_017,hosp_034,supply,inferred
sub_021,hosp_035,supply,inferred
sub_001,hosp_036,supply,inferred
sub_018,hosp_037,supply,inferred
sub_025,hosp_038,supply,inferred
sub_010,hosp_039,supply,inferred
sub_002,hosp_040,supply,inferred
sub_010,hosp_041,supply,inferred
sub_001,hosp_042,supply,inferred
sub_019,hosp_043,supply,inferred
sub_010,hosp_044,supply,inferred
sub_020,hosp_045,supply,inferred
sub_010,hosp_046,supply,inferred
sub_026,hosp_047,supply,inferred
sub_010,hosp_048,supply,inferred
sub_006,hosp_049,supply,inferred
sub_023,hosp_050,supply,inferred
sub_001,hosp_051,supply,inferred
sub_017,hosp_052,supply,inferred
sub_001,hosp_053,supply,inferred
sub_006,hosp_054,supply,inferred
sub_001,hosp_055,supply,inferred
sub_010,hosp_056,supply,inferred
sub_017,hosp_057,supply,inferred
sub_021,hosp_058,supply,inferred
sub_023,hosp_059,supply,inferred
sub_024,hosp_060,supply,inferred
sub_012,hosp_061,supply,inferred
sub_010,hosp_062,supply,inferred
sub_017,hosp_063,supply,inferred
sub_010,hosp_064,supply,inferred
sub_001,hosp_065,supply,inferred
sub_001,hosp_066,supply,inferred
sub_001,hosp_067,supply,inferred
sub_023,hosp_068,supply,inferred
sub_001,hosp_069,supply,inferred
sub_001,hosp_070,supply,inferred
sub_001,hosp_071,supply,inferred
sub_023,hosp_072,supply,inferred
sub_025,hosp_073,supply,inferred
sub_021,hosp_074,supply,inferred
sub_018,hosp_075,supply,inferred
sub_001,hosp_076,supply,inferred
sub_025,hosp_077,supply,inferred
sub_021,hosp_078,supply,inferred
sub_021,hosp_079,supply,inferred
sub_021,hosp_080,supply,inferred
sub_021,hosp_081,supply,inferred
sub_006,hosp_082,supply,inferred
sub_013,hosp_083,supply,inferred
sub_013,hosp_084,supply,inferred
sub_023,hosp_085,supply,inferred
sub_006,hosp_086,supply,inferred
sub_009,hosp_087,supply,inferred
sub_023,hosp_088,supply,inferred
sub_004,hosp_089,supply,inferred
sub_021,hosp_090,supply,inferred
sub_013,hosp_091,supply,inferred
sub_009,hosp_092,supply,inferred
sub_012,hosp_093,supply,inferred
sub_023,hosp_094,supply,inferred
sub_012,hosp_095,supply,inferred
sub_013,hosp_096,supply,inferred
sub_003,hosp_097,supply,inferred
sub_018,hosp_098,supply,inferred
sub_012,hosp_099,supply,inferred
sub_023,hosp_100,supply,inferred
sub_017,hosp_101,supply,inferred
sub_010,hosp_102,supply,inferred
sub_001,hosp_103,supply,inferred
sub_001,hosp_104,supply,inferred
sub_018,hosp_105,supply,inferred
sub_001,hosp_106,supply,inferred
sub_016,hosp_107,supply,inferred
sub_001,hosp_108,supply,inferred
sub_017,hosp_109,supply,inferred
sub_018,hosp_110,supply,inferred
sub_001,hosp_111,supply,inferred
sub_018,hosp_112,supply,inferred
sub_017,hosp_113,supply,inferred
sub_017,hosp_114,supply,inferred
sub_017,hosp_115,supply,inferred
sub_018,hosp_116,supply,inferred
sub_001,hosp_117,supply,inferred
sub_001,hosp_118,supply,inferred
sub_018,hosp_119,supply,inferred
sub_018,hosp_120,supply,inferred
sub_017,hosp_121,supply,inferred
sub_023,hosp_122,supply,inferred
sub_017,hosp_123,supply,inferred
sub_017,hosp_124,supply,inferred
sub_001,hosp_125,supply,inferred
sub_017,hosp_126,supply,inferred
sub_001,hosp_127,supply,inferred
sub_018,hosp_128,supply,inferred
sub_001,hosp_129,supply,inferred
sub_018,hosp_130,supply,inferred
sub_018,hosp_131,supply,inferred
sub_001,hosp_132,supply,inferred
sub_018,hosp_133,supply,inferred
sub_018,hosp_134,supply,inferred
sub_017,hosp_135,supply,inferred
sub_017,hosp_136,supply,inferred
sub_001,hosp_137,supply,inferred
sub_017,hosp_138,supply,inferred
sub_018,hosp_139,supply,inferred
sub_018,hosp_140,supply,inferred
sub_025,hosp_141,supply,inferred
sub_012,hosp_142,supply,inferred
sub_014,hosp_143,supply,inferred
sub_013,hosp_144,supply,inferred
sub_006,hosp_145,supply,inferred
sub_006,hosp_146,supply,inferred
sub_013,hosp_147,supply,inferred
sub_006,hosp_148,supply,inferred
sub_025,hosp_149,supply,inferred
sub_016,hosp_150,supply,inferred
sub_013,hosp_151,supply,inferred
sub_006,hosp_152,supply,inferred
sub_014,hosp_153,supply,inferred
sub_010,hosp_154,supply,inferred
sub_009,hosp_155,supply,inferred
sub_024,hosp_156,supply,inferred
sub_014,hosp_157,supply,inferred
sub_016,hosp_158,supply,inferred
sub_009,hosp_159,supply,inferred
sub_006,hosp_160,supply,inferred
sub_019,hosp_161,supply,inferred
sub_006,hosp_162,supply,inferred
sub_006,hosp_163,supply,inferred
sub_002,hosp_164,supply,inferred
sub_014,hosp_165,supply,inferred
sub_021,hosp_166,supply,inferred
sub_012,hosp_167,supply,inferred
sub_006,hosp_168,supply,inferred
sub_014,hosp_169,supply,inferred
sub_020,hosp_170,supply,inferred
sub_009,hosp_171,supply,inferred
sub_016,hosp_172,supply,inferred
sub_010,hosp_173,supply,inferred
sub_014,hosp_174,supply,inferred
sub_009,hosp_175,supply,inferred
sub_016,hosp_176,supply,inferred
sub_014,hosp_177,supply,inferred
sub_024,hosp_178,supply,inferred
sub_020,hosp_179,supply,inferred
sub_010,hosp_180,supply,inferred
sub_014,hosp_181,supply,inferred
sub_006,hosp_182,supply,inferred
sub_014,hosp_183,supply,inferred
sub_003,hosp_184,supply,inferred
sub_014,hosp_185,supply,inferred
sub_016,hosp_186,supply,inferred
sub_013,hosp_187,supply,inferred
