id,type,lat,lon,name,capacity,load,population_served,buffer_hours,provenance
sub_001,substation,23.215775,77.4417995,,124.76,69.24,26024,,observed
sub_002,substation,23.2613524,77.4294273,,97.14,56.14,14717,,observed
sub_003,substation,23.2740014,77.4566884,,127.37,92.78,13697,,observed
sub_004,substation,23.2437521,77.4355915,,121.33,67.51,14140,,observed
sub_005,substation,23.2767034,77.4510858,,95.3,62.05,9739,,observed
sub_006,substation,23.2638717,77.4140183,,119.29,82.69,43713,,observed
sub_007,substation,23.286985,77.4612142,A.Nagar,109.37,69.98,26231,,observed
sub_008,substation,23.3194914,77.3311792,Bairagarh,136.66,75.34,18463,,observed
sub_009,substation,23.2548043,77.4385255,Madhya Pradesh Power Transmission Private Limited,128.87,79.65,18189,,observed
sub_010,substation,23.2779432,77.4071057,,95.07,66.81,14698,,observed
sub_011,substation,23.338126,77.4821883,,86.49,49.24,30541,,observed
sub_012,substation,23.2728373,77.3669593,,122.26,86.98,38108,,observed
sub_013,substation,23.2713969,77.374405,,117.54,87.52,32807,,observed
sub_014,substation,23.2696485,77.4784124,,85.52,52.05,31700,,observed
sub_015,substation,23.2629552,77.4461989,,120.41,83.2,11003,,observed
sub_016,substation,23.2125393,77.4994607,,126.29,88.98,13229,,observed
sub_017,substation,23.2123064,77.4574171,,139.87,101.17,32911,,observed
sub_018,substation,23.2065709,77.4021152,,99.46,67.35,31909,,observed
sub_019,substation,23.244107,77.4513207,,91.39,56.76,25496,,observed
sub_020,substation,23.2386402,77.4577046,,129.13,88.67,12679,,observed
sub_021,substation,23.2325405,77.4343717,,122.64,71.65,24043,,observed
sub_022,substation,23.3471761,77.4838176,Bhopal,91.44,57.23,44500,,observed
sub_023,substation,23.2175306,77.4143548,"132 KV SubStation, Bhopal",95.37,58.64,11665,,observed
sub_024,substation,23.2248717,77.439791,,96.03,53.43,28673,,observed
sub_025,substation,23.2462714,77.4267208,,108.08,60.88,28622,,observed
sub_026,substation,23.3085738,77.3378484,,94.88,61.66,38071,,observed
sub_027,substation,23.278643,77.4812763,220KV Sub Station Adampur,90.0,52.01,44789,,observed
hosp_001,hospital,23.213357,77.3921666,Manisha Hospital,,,,8.0,observed
hosp_002,hospital,23.1724664,77.4170971,Anupam Hospital,,,,8.0,observed
hosp_003,hospital,23.1825879,77.4363178,Bisoniya Hospital ,,,,8.0,observed
hosp_004,hospital,23.1886998,77.4319555,Physiotherapy & Ayurveda,,,,8.0,observed
hosp_005,hospital,23.2016302,77.4263831,"Shekhar Hospital, Bhopal",,,,8.0,observed
hosp_006,hospital,23.1984715,77.4264928,"Life Line Hospital, Bhopal",,,,8.0,observed
hosp_007,hospital,23.1998518,77.429428,Lahoti Hospital ,,,,8.0,observed
hosp_008,hospital,23.2126452,77.4387892,Bhopal Fracture Hospital ,,,,8.0,observed
hosp_009,hospital,23.2100099,77.440881,Asha Niketan,,,,8.0,observed
hosp_010,hospital,23.2521256,77.4149495,"Vardaan Hospital, Bhopal",,,,8.0,observed
hosp_011,hospital,23.2617176,77.4104527,"Khan Shakir ali khan aspataal, gas rahat, bhopal",,,,8.0,observed
hosp_012,hospital,23.2682768,77.404835,Bhopal Eye Hospital,,,,8.0,observed
hosp_013,hospital,23.2324175,77.3944885,Aastha Hospital,,,,8.0,observed
hosp_014,hospital,23.2045252,77.4093707,HAKIM SYED ZIAUL HASAN GOVERMENT UNANI MEDICAL COLLEGE AND HOSPITAL,,,,8.0,observed
hosp_015,hospital,23.2037556,77.4091003,GOVERMENT HOMEOPATHIC MEDICAL COLLEGE AND HOSPITAL,,,,8.0,observed
hosp_016,hospital,23.2133755,77.4299254,"Meenakshi Hospital, Bhopal",,,,8.0,observed
hosp_017,hospital,23.2288798,77.4356157,Prakash Eye Care and Laser Centre,,,,8.0,observed
hosp_018,hospital,23.2242238,77.4019808,Mata Mandir Netra Sewa Kendra,,,,8.0,observed
hosp_019,hospital,23.262956,77.3803829,Kshitij Hospital,,,,8.0,observed
hosp_020,hospital,23.2627832,77.3939585,Bhopal Care Hospital,,,,8.0,observed
hosp_021,hospital,23.2301825,77.3937517,G.S.M.Hospital,,,,8.0,observed
hosp_022,hospital,23.263933,77.393792,Central Hospital and Research Center,,,,8.0,observed
hosp_023,hospital,23.217648,77.4391609,Narmada Advance Trauma and Critical care Institute,,,,8.0,observed
hosp_024,hospital,23.2684238,77.4731988,Devmata Hospital,,,,8.0,observed
hosp_025,hospital,23.1945312,77.4731706,Shri Maya Maternity and General Hospital,,,,8.0,observed
hosp_026,hospital,23.2070006,77.4342786,Malti Hospital,,,,8.0,observed
