rank,node_id,name,steps,hours,people_affected,substations_failed,cascade_size,hospitals_feeder_lost,hospitals_on_backup,hospitals_without_power,pumps_feeder_lost,pumps_without_water,unserved_load_mw,criticality_percentile
1,sub_171,ITI,12,24.0,2918254,110,772,587,335,252,75,51,4658.96,100.0
2,sub_039,LR Bande Substation,12,24.0,2729047,104,870,660,390,270,106,69,4241.16,99.47
3,sub_074,Jayadeva,12,24.0,2441139,93,880,693,237,456,94,60,3116.22,98.95
4,sub_091,Vikas Tech Park Substation,12,24.0,2125855,78,484,366,239,127,40,15,3514.04,98.42
5,sub_072,Vijaya Nagar,12,24.0,1995701,78,815,657,266,391,80,53,3368.33,97.89
6,sub_045,Abbigere,12,24.0,1990258,73,532,376,214,162,83,55,3250.82,97.37
7,sub_030,Bagmane WTC,12,24.0,1734478,65,497,374,217,157,58,44,2657.79,96.84
8,sub_105,Jayanagar Substation,12,24.0,1519296,58,622,489,172,317,75,42,865.62,96.32
9,sub_187,Somashettihalli 66kV Substation,12,24.0,1501343,53,330,220,125,95,57,29,1702.09,95.79
10,sub_184,sub_184,12,24.0,1445074,51,315,209,120,89,55,28,1562.95,95.26
11,sub_154,sub_154,12,24.0,1395214,51,356,254,143,111,51,31,1767.98,94.74
12,sub_040,Hebbal Substation,12,24.0,1195047,40,190,116,45,71,34,18,1054.22,94.21
13,sub_181,sub_181,12,24.0,1073604,38,201,148,60,88,15,8,681.08,93.68
14,sub_168,sub_168,12,24.0,1001817,39,414,335,119,216,40,31,2481.5,93.16
15,sub_048,sub_048,12,24.0,908671,31,139,86,56,30,22,13,1008.98,92.63
16,sub_029,Kengeri S Town,8,16.0,186083,7,29,15,0,15,7,7,462.22,92.11
17,sub_077,HAL Substation,6,12.0,55391,2,6,4,0,4,0,0,0.0,91.58
18,sub_182,KPTCL Keppel Purvankara Park Square,2,4.0,44960,1,1,0,0,0,0,0,0.0,91.05
19,sub_088,sub_088,2,4.0,44896,1,1,0,0,0,0,0,0.0,90.53
20,sub_027,Hoody Traction,5,10.0,44789,1,3,2,0,2,0,0,0.0,90.0
21,sub_109,St Johns Wood Substation,5,10.0,44692,1,10,9,0,9,0,0,0.0,89.47
22,sub_022,BMTC Substation,5,10.0,44500,1,14,13,0,13,0,0,0.0,88.95
23,sub_075,sub_075,5,10.0,44422,1,4,2,0,2,1,1,0.0,88.42
24,sub_096,sub_096,2,4.0,44256,1,1,0,0,0,0,0,0.0,87.89
25,sub_049,Wellcast Steel,5,10.0,44031,1,3,2,0,2,0,0,0.0,87.37
26,sub_006,sub_006,2,4.0,43713,1,1,0,0,0,0,0,0.0,86.84
27,sub_092,sub_092,5,10.0,43600,1,7,4,0,4,2,2,0.0,86.32
28,sub_158,sub_158,5,10.0,43399,1,7,4,0,4,2,2,0.0,85.79
29,sub_042,sub_042,5,10.0,43348,1,2,1,0,1,0,0,0.0,85.26
30,sub_035,Subramanyapura Substation,5,10.0,43190,1,2,1,0,1,0,0,0.0,84.74
31,sub_121,sub_121,5,10.0,43141,1,10,9,0,9,0,0,0.0,84.21
32,sub_150,sub_150,5,10.0,42808,1,3,2,0,2,0,0,0.0,83.68
33,sub_079,sub_079,5,10.0,42807,1,6,5,0,5,0,0,0.0,83.16
34,sub_093,Exora,2,4.0,42664,1,1,0,0,0,0,0,0.0,82.63
35,sub_084,sub_084,5,10.0,42261,1,6,5,0,5,0,0,0.0,82.11
36,sub_148,sub_148,4,8.0,41944,1,6,0,0,0,5,5,0.0,81.58
37,sub_125,Jindal City Substation,5,10.0,41516,1,2,1,0,1,0,0,0.0,81.05
38,sub_152,sub_152,5,10.0,41081,1,4,2,0,2,1,1,0.0,80.53
